de	1	Obama empfängt Netanyahu	Obama welcomes Netanyahu	Obama, Netanyahu	Obama receives Netanyahu	x     	v->pun     
de	220	Aus Textdokumenten sei bereits bekannt gewesen, dass an der Stelle im 4. Jahrhundert eine Festung und im 8. Jahrhundert eine Kirche gestanden haben, erläuterte Trier.	From text documents, it was already known that at the point in the 4th century a fortress and in the 8th century stood a church, explained Trier.	From text documents had already been known that at the point in the 4th century, a fortress and a church stood in the 8th century, Trier explained.	It is already known from text documents that a fortress stood on this spot in the 4th century, and in the 8th century a church, explained Trier.	v_lex phrase_structure    	pron_miss_src_impers v_lex phrase_structure   
de	221	Neben Resten der Festung und des Kirchturms sei auch ein Friedhof mit rund 350 Gräbern entdeckt worden, der wohl zu der Kirche gehörte.	In addition to remnants of the fortress and the church tower, there was also a cemetery with around 350 graves, which was probably part of the church.	In addition to the ruins of the fortress and the church tower and a cemetery with about 350 graves had been discovered, probably belonged to the church.	Besides the remains of the fortress and the church tower, a cemetery with around 350 graves, which probably belonged to the church, has also been discovered.	art_miss passive_worden    	pun->conj pun_miss pron_rel_miss   
de	230	Hinweise, die über die Ursache des Unfalls Aufschluss geben, können unter rund um die Uhr geschalteten und kostenfreien Hotline der Bundespolizei unter Telefon 0800/6888000 oder jede anderen Polizeidienststelle gegeben werden.	Evidence that sheds light on the cause of the accident can be provided at around the clock and free of charge by the federal police under phone 0800/6888000 or any other police station.	Notes that give information about the cause of the accident, which has been under round-the-clock and free telephone hotline of the Federal Police on 0800 / 6888000 or any other police station.	Any information that can be provided about the cause of the accident can be given by calling the free 24-hour police hotline on 0800/688 8000 or at any police station.	n_lex v_lex mwe n_miss genitive prep_miss	n_lex passive mwe prep_miss  
de	232	Zur Entschärfung des Streits über das geplante transatlantische Freihandelsabkommen TTIP hat die EU-Kommission eine umfangreiche Reform des aktuellen Schiedsgerichtssystems vorgeschlagen.	To defuse the dispute over the planned transatlantic free trade agreement TTIP, the EU Commission has proposed a comprehensive reform of the current arbitration system.	To defuse the dispute over the planned transatlantic free trade agreement TTIP, the EU Commission has a comprehensive reform of the current arbitration system proposed.	To defuse the controversy over the planned Transatlantic Trade and Investment Partnership, TTIP, the EU Commission has proposed a substantial reform of the current arbitration system.	x     	v_order     
de	235	Die Schwedin hat vor, den Vorschlag als europäische Verhandlungsposition in die Freihandelsgespräche mit den USA einzubringen.	The Swede is proposing to introduce the proposal as a European negotiating position in the free trade talks with the United States.	The Swede has plans to introduce the proposal as European negotiating position in the free-trade talks with the United States.	The Swede plans to introduce the proposal as the European negotiating position in the free trade talks with the USA.	art_ext     	x     
de	236	Die deutsche Regierung kündigte Unterstützung an.	The German government announced support.	The German government announced support.	The German government has announced its support.	v_past_cont     	v_past_cont     
de	237	Durch TTIP soll die größte Freihandelszone der Welt mit 800 Millionen Menschen entstehen.	TTIP aims to create the largest free trade area in the world with 800 million people.	By TTIP is the world's largest free trade zone with 800 million people.	The creation of TTIP will result in the largest free trade zone in the world, covering 800 million people.	x     	sollen     
de	238	Die Pläne zur Reform der aktuellen Schiedsverfahren sehen konkret vor, dass die EU-Staaten und die USA gemeinsam unabhängige Richter für einen neuen Investitionsgerichtshof auswählen.	The plans to reform the current arbitration procedures specifically stipulate that the EU Member States and the United States will jointly choose independent judges for a new Investment Court.	The plans for reform of the current arbitration specifically see that the EU countries and the US together independent judges to select a new investment law.	Plans for reform of the current arbitration procedure specifically provide for the EU states and the USA to jointly select independent judges for a new investment court.	art_ext v_pref_lex v_ext   	art_ext comp v_pref_lex literal v_order 
de	240	Vorgesehen ist zum ersten Mal auch eine zweite Instanz.	For the first time, there is also a second instance.	A second instance is also provided for the first time.	For the first time, a second instance is also provided for.	x     	x     
de	243	In der Diskussion der vergangenen Monate sei deutlich geworden, dass Bürger dem alten ISDS-System in Sachen Fairness und Gerechtigkeit nicht vertrauten, kommentierte Malmström.	In the debate over the past few months, it has become clear that citizens are not familiar with the old ISDS system in terms of fairness and fairness.	In the discussion of the past few months is clear that citizens of the old ISDS system in terms of fairness and justice cannot be trusted, "said Malmström.	In the discussions over the past months it has become clear that citizens do not trust the old ISDS system to be fair and just, commented Malström.	v/a n_lex phrase_miss   	genitive pron_miss_impers ambig_v phrase_structure passsive 
de	246	Die vor allem von Großkonzernen verlangten Investor-Staats-Schiedsverfahren (ISDS) gelten als einer der Hauptgründe für den großen Widerstand in Europa gegen TTIP.	The investor-state arbitration procedures (ISDS) demanded by large corporations are considered to be one of the main reasons for the great resistance in Europe against TTIP.	The especially large corporations required investor-state arbitration (ISDS) is considered as one of the main reasons for the strong opposition in Europe against TTIP.	Investor State Dispute Settlement (ISDS), which is required particularly by large companies, is said to be one of the main reasons for the stiff opposition to the TTIP in Europe.	x     	passive     
de	252	Das alte System von privaten Schiedsgerichten sei vom Tisch.	The old system of private arbitration is off the table.	The old system of private arbitration is off the table.	The old system of private arbitration courts is off the table.	comp     	comp     
de	253	Auch die französische Regierung begrüßte die Pläne von Malmström.	The French government also welcomed Malmström's plans.	The French government has welcomed the plans of Malmström.	The French government, too, welcomed Malström's plans.	x     	adv_miss art_ext    
de	261	Delikater Folk von Sufjan Stevens in Hamburg	Delicate folk from Sufjan Stevens in Hamburg	Delicate folk of a sceptic in Hamburg	Exquisite folk from Sufjan Stevens in Hamburg	x     	prep ne_trans    
de	264	Das gesamte Publikum, etwa 40 Personen, ist nahezu ergriffen von Stevens Vortrag.	The entire audience, about 40 people, is almost taken by Stevens talk.	The entire audience, about 40 people, is almost taken by Stevens.	The entire audience, some 40 people, is virtually mesmerised by Stevens's performance.	x     	n_miss     
de	271	Reduziert tritt Stevens hier auf.	As a result, Stevens is stepping down here.	Reduced Stevens occurs here.	Stevens seems to have downsized here.	diff     	literal     
de	273	Ein Jahr später kehrt der in New-York lebende Musiker zurück zur Serie.	A year later, the musician living in New-York is returning to the series.	A year later, the New-York-based musician back to the series.	One year later the New York-based musician returns to his series.	num->art v_pres_cont    	num->art v_miss    
de	274	Mit "Illinois" ("Sufjan Stevens Invites You To: Come on Feel The Illinoise") erscheint 2005 ein flächendeckend gefeiertes Meisterwerk.	With "Illinois" ("Sufjan Stevens Present You To: Come on Feel The Oregoise") appears a nationwide celebrated masterpiece in 2005.	"Illinois" ("a sceptic Invites You To: Come on Feel the Illinoise") in 2005, is a universally-celebrated masterpiece.	With "Illinois" ("Sufjan Stevens Invites You To: Come On Feel The Illinoise") in 2005, a widely acclaimed masterpiece is released.	diff     	ne_trans diff    
de	275	Überbordend an Ideen und stilistischer Finesse.	Brimming with ideas and stylistic finesse.	In überbordend ideas and stylistic finesse.	Exuberant with ideas and stylistic sophistication.	x     	prep untrans    
de	278	Dieses sechste ordentliche Studioalbum ist noch immer breit orchestriert, jedoch von programmierten Sequenzen oder Beats getragen und spielt mit allerlei Effekt und Hall.	This sixth proper studio album is still widely orchestrated, but worn by programmed sequences or beats and plays with all sorts of effect and Hall.	This sixth studio album orchestrated is still wide, but driven by programmed sequences or beats and plays with all sorts of effects and Hall.	This sixth proper studio album is still broadly orchestrated, but supported by programmed sequences or beats and plays with a variety of effects and echoes.	ambig_v n_infl untrans   	v_order a/adv untrans   
de	282	Theater präsentiert er hauptsächlich das seit März erhältliche "Carrie & Lowell".	He mainly presents the "Carrie & Lowell," which has been available since March.	He Theatre presents the available since March, "Carrie & Lowell."	Since March the theatre has primarily presented "Carrie and Lowell".	diff     	diff     
de	284	Ohne ein Wort an das Publikum zu richten, spielt sich die Gruppe exzellenter Musiker durch das breit angereicherte Album.	Without giving a word to the audience, the group is playing excellent musicians through the widely enriched album.	Without a word to say to the audience, a group of excellent musicians is enriched by the album.	Without directing a word at the public the group of excellent musicians plays through the widely enriched album.	v_lex v_pres_cont genitive   	art v_miss phrase_structure   
en	295	Mr Corbyns Entscheidung, nicht die Nationalhymne zu singen, hat Aufmerksamkeit auf sich gezogen	MR Corbyns decision not to sing the national anthem has drawn attention	Mr Corbyn's decision not to sing the national anthem, has drawn attention to	Mr Corbyn's decision not to sing the national anthem has attracted attention	cap     	prep_ext     
en	300	Mr Corbyn sagte der TUC-Konferenz, dass Labour Änderungen vorlege, um die ganze Idee einer Begrenzung insgesamt zu entfernen.	MR Corbyn told the TUC conference that Labour was making changes to remove the whole idea of a limit overall.	Mr Corbyn told the TUC conference that Labour changes present to the whole idea of a limit to remove altogether.	Mr Corbyn told the TUC conference Labour was putting forward amendments to remove the whole idea of a cap altogether.	ambig_adv     	literal v_order    
en	302	Mr Corbyn wird der fünfte Labour-Vorsitzende sein, der David Cameron, seitdem er Tory-Chef ist, im letzten Jahrzehnt über die Dispatch-Box im Parlament hinweg gegenüber steht.	MR Corbyn will be the fifth Labour leader to face David Cameron since he is Tory-leader in the last decade over the dispatch-box in parliament.	Mr Corbyn is the fifth to be Labour leader, David Cameron, the Tory leader, in the last decade at the Dispatch Box in the House, is facing.	Mr Corbyn will be the fifth Labour leader that David Cameron has faced across the despatch box over the past decade since he became Tory leader.	diff     	diff     
en	310	Das Stadtzentrum von Johannesburg ist ein knallharter Ort, wenn man obdachlos ist.	The city centre of Johannesburg is a tough place if you are homeless.	The city of Johannesburg is a place of fierce, if you are homeless.	Downtown Johannesburg is a tough place to be homeless.	x     	comp order    
en	313	BBC News hat einen der ersten Absolventen des Projekts getroffen.	BBC News has met one of the project's first graduates.	BBC News has taken one of the first graduates of the project.	BBC News went to meet one of the project's first graduates.	x     	ambig_v     
en	314	Wie Sie Ihre Geschichten, Bilder und Videos mit BBC News teilen	How to share your stories, pictures and videos with BBC News	How do you your stories, pictures and videos to share with BBC News	How to share your stories, pictures and videos with BBC News	x     	v_order     
en	318	Haben Sie ein Ereignis gesehen oder waren Sie davon betroffen?	Have you seen an event or have you been affected?	Have you ever seen an event or affected you?	Have you seen or been involved in a news event?	x     	adv_ext passive    
en	320	Haben Sie eine Geschichte zu erzählen, oder gibt es etwas, was Sie nach Ihrer Ansicht verfolgen sollten?	Do you have a story to tell, or is there something you should follow in your view?	Do you have a story to tell, or is there something that you should have in your opinion?	Have you got a story to tell or is there something you think we should follow up?	x     	v_miss     
en	322	Was möchten Sie kommentieren?	What do you want to comment?	What do you want to comment on?	What do you want to comment on?	x     	x     
en	324	Geschäftsbedingungen für das Senden von Beiträgen an die BBC.	Terms and conditions for sending contributions to the BBC.	Terms and conditions for sending contributions to the BBC.	Terms and conditions for sending contributions to the BBC.	x     	x     
en	326	Kontaktieren Sie uns auf Twitter	Contact us on Twitter	To contact us on Twitter	Contact us on Twitter	x     	to_ext     
en	327	Wir können Ihre Tweets nutzen, indem wir Ihren Twitter-Benutzernamen bei BBC-Produktionen verwenden.	We can use your tweets by using your Twitter username on BBC productions.	We can use your tweets by your Twitter username in BBC productions.	We may use your tweets displaying your Twitter username on BBC output.	x     	v_miss     
en	328	Senden Sie uns eine Nachricht auf WhatsApp	Send us a message on WhatsApp	Please send us a message on WhatsApp	Message us on WhatsApp	x     	x     
en	329	Senden Sie uns ein Bild, Video oder eine Nachricht an unsere WhatsApp Nummer + 44-7525-900971	Send us a picture, video or a message to our WhatsApp number +44-7525-900971	Send us a picture, video or message to our WhatsApp number + 44 7525 900971-	Send us a picture, video or message to our WhatsApp number +44 7525 900971	art_ext     	x     
en	331	Wir werden Ihren Namen so veröffentlichen, wie Sie ihn angeben (wenn Sie uns nicht bitten, dies zu unterlassen), aber wir werden nie Ihre Handynummer veröffentlichen.	We will publish your name as you specify it (if you do not ask us to do so), but we will never publish your mobile phone number.	We will publish your name as you provide it (unless you ask us not to do so), but we will never publish your phone number.	We will publish your name as you provide it (unless you ask us not to) but we will never publish your mobile phone number.	neg     	x     
en	333	Oder wenn Sie sich außerhalb des Vereinigten Königreichs befinden, an die internationale Nummer +44 7624 800 100.	Or if you are outside the UK, the international number +44 7624 800 100.	Or if you are outside the United Kingdom, to the international number + 44 7624 800 100.	Or if you are outside the UK, send them to the international number +44 7624 800 100.	prep_miss     	x     
en	335	Senden Sie uns Ihre Geschichten und Kommentare per E-Mail an haveyoursay@bbc.co.uk	Send us your stories and comments via e-mail to haveyoursay @ BBC.co.uk	Send us your stories and comments via email to haveyoursay @ BBC.co.uk	Email your stories and comments to haveyoursay@bbc.co.uk	x     	x     
en	336	Wir bemühen uns, alle Ihre E-Mails zu lesen, aber aufgrund der Mengen, die wir jeden Tag erhalten, ist es nicht immer möglich, alle einzeln zu beantworten.	We strive to read all your e-mails, but due to the quantities we receive every day, it is not always possible to answer all of them individually.	We are committed to all your e-mails to read, but due to the numbers we receive each day, it is not always possible to reply to everyone individually.	We aim to read all of your emails but due to the numbers we receive each day it is not always possible to reply to everyone individually.	x     	v_order     
en	337	Senden Sie uns Ihre Bilder, Video- oder Audioaufnahmen per E-Mail an yourpics@bbc.co.uk	Send us your pictures, video or audio recordings via e-mail to yourpics @ BBC.co.uk	Send us your pictures, video or audio recordings via e-mail to your pics @ BBC.co.uk	Email your pictures, video or audio to us at yourpics@bbc.co.uk	x     	x     
en	341	Pfund steigt durch beschleunigtes Lohnwachstum im Vereinigten Königreich	Pound rises by accelerating wage growth in the UK	Pound rises through accelerated wage growth in the United Kingdom	Pound rises as UK wage growth accelerates	x     	ambig_prep     
en	345	Das Pfund stieg um mehr als 1 % gegenüber dem Dollar auf $1,5505 und war bis 0,84 % gegenüber dem Euro auf 1,3730 € geklettert.	The pound rose by more than 1 per cent against the dollar to $1,5505 and was up 0.84 per cent against the euro to €1.3730.	The pound rose by more than 1% against the dollar to $1,5505 and had climbed up 0.84% against the euro to €1,3730.	Sterling rose more than 1% against the dollar to $1.5505 and was up 0.84% against the euro at €1.3730.	x     	x     
en	346	Der FTSE 100 Index schloss mit einer Steigerung um 1,49 % auf 6.229,21.	The FTSE 100 index closed with an increase of 1.49% to 6,229.21.	The FTSE 100 index closed with an increase of 6.229,21 1,49%.	The FTSE 100 index closed up 1.49% to 6,229.21.	x     	phrase_structure     
en	348	Eine Transaktion würde die zwei größten Brauereien der Welt kombinieren und Marken wie Budweiser, Stella Artois, Peroni und Grolsch zusammenbringen.	A transaction would combine the world's two largest breweries and bring together brands such as Budweiser, Stella Artois, Peroni and Grolsch.	A transaction would combine the two largest breweries in the world and bring together brands such as Budweiser, Stella Artois, Peroni and Grolsch.	A deal would combine the world's two largest brewers, bringing together brands such as Budweiser, Stella Artois, Peroni and Grolsch.	x     	x     
en	349	Burberry-Aktien waren nach ermutigenden Nachrichten vom Konkurrenz-Konzern für Luxusgüter Richemont 0,9 % höher.	Burberry shares were 0.9% higher after encouraging news from the Competition Group for Luxury Goods Richemont.	Burberry shares were after encouraging news from the competition for luxury goods group Richemont 0.9% higher.	Burberry shares were 0.9% higher following encouraging news from rival luxury goods group Richemont.	x     	phrase_order_a     
en	354	Der Chef von JD Sports sagt, dass höhere Löhne die Expansion gefährden.	The head of JD Sports says higher wages jeopardize expansion.	The boss of JD Sports says that higher wages could jeopardize the expansion.	JD Sports boss says higher wages could hurt expansion	x     	art_ext     
en	356	Aber es sei unwahrscheinlich, dass diese Kaufkraft die höheren Arbeitskosten bei seiner Firma ausgleichen werde, sagt er.	But it is unlikely that this purchasing power will offset the higher labor costs at his company, he says.	But it is unlikely that this purchasing power will compensate for the higher labor costs at his company, he says.	But that spending power is unlikely to outweigh the higher labour costs at his firm, he says.	x     	x     
en	357	Die Kosten könnten die Expansionspläne von JD Sports treffen, fügte er hinzu, und das könnte bedeuten, dass es weniger zusätzliche Arbeitsplätze gibt.	The cost could hit JD Sports's expansion plans, he added, and that could mean there are fewer additional jobs.	The cost of the expansion plans of JD Sports meeting, he added, and that could mean that there are fewer jobs.	The costs could hit JD Sports' expansion plans, he added, which could mean fewer extra jobs.	n_infl     	n_infl phrase_structure ambig_v   
de	358	Justin Bieber in der Hauptstadt: Auf Bieber-Expedition in Berlin	Justin Bieber in the Capital: On Bieber Expedition in Berlin	Justin Bieber in the capital: Bieber-expedition in Berlin	Justin Bieber in the capital city: on a Bieber expedition in Berlin	x     	prep_miss     
de	359	Justin Bieber, Megastar.	Justin Bieber, Megastar.	Justin Bieber, mega star.	Justin Bieber, megastar.	x     	x     
de	362	Eher sogar mehr.	Rather even more.	Even more.	Probably even more.	x     	adv_miss     
de	364	Und die Generation U17 dreht durch.	And the generation U17 turns through.	Montag and the generation.	And the under-17 generation is going berserk.	ambig_v     	diff     
de	365	Wie Wiktoria Rudzinska.	Like Wiktoria Rudzinska.	As Wiktoria Rudzinska.	Like Wiktoria Rudzinska.	x     	x     
de	367	Nicht schlimm.	Not bad.	Not bad.	Not so bad.	x     	x     
de	368	Hunderte Fans begleiteten Justin gestern.	Hundreds of fans accompanied Justin yesterday.	Hundreds of fans accompanied Justin yesterday.	Hundreds of fans accompanied Justin yesterday.	x     	x     
de	369	Darunter Ewa und Viktoria aus Polen.	Including Ewa and Viktoria from Poland.	Including Ewa and Victoria from Poland.	Including Eva and Viktoria from Poland.	x     	x     
de	371	Der Bieber-Bau: Hier wohnt ihr Idol, dessen Poster zuhauf in Stettin hängen, seit Montagabend.	The Bieber-Bau: Here's her idol, whose poster hung up in Stettin, since Monday night.	The Bieber-construction: Here lives their idol whose posters abound in Szczecin, since Monday evening.	The Bieber building: their idol, whose face appears on huge numbers of posters in Szczecin, has been staying here since Monday evening.	untrans ambig_pron n_infl n_lex v_past_cont 	ambig_n v_past_cont v_miss   
de	372	Die Suite, in dem der kanadische Sänger wohnt, kostet am Tag genau so viel, wie ihre Mama Ewa im halben Jahr verdient.	The suite, in which the Canadian singer lives, costs exactly as much on the day as her mom Ewa earns in six months.	The suite in which the Canadian singer, costs on the day just as much as their mom Ewa earns in half a year.	The suite where the Canadian singer is staying costs as much for one night as her mother Ewa earns in six months.	v_pres_cont prep ambig_conj   	v_miss prep ambig_pron   
de	373	Wenn überhaupt.	If anything.	If anything.	At least.	x     	x     
de	374	Die sagt: "Eigentlich müsste meine Wiktoria in der zehnten Klasse im Gymnasium sitzen."	The saying: "In fact, my Wiktoria would have to sit in the 10th grade in high school."	It says: "Actually, my Administration would be in the tenth grade in high school seats."	She says: "My Viktoria should really be sitting in the 10th class in the grammar school at the moment."	pron/art v_pres_cont    	pron     
de	376	Schulpflicht?	School duty?	Compulsory school?	Compulsory education?	mwe     	mwe     
de	381	Für die Reklame in der Werbepause des Superbowls kassierte er drei Millionen, ein Zweijahres-Deal mit einer Anti-Pickel-Firma spülte viele, viele Dollar aufs Bieber-Konto.	For the promotion in the advertising break of the superhero, he netted three million, a second-year deal with an anti-picket company washed up many, many dollars to the Bieber account.	For the advertising in the advertising break Spain's super bowls he three million, a two-year deal with an anti-pimple-company raked in many, many dollars on Bieber's account.	He is earning three million for advertising in the commercial break at the Super Bowl, a two-year deal with an anti-spot company pours many many dollars into Bieber's account.	diff     	diff     
de	384	Mehr als 100 Millionen soll er so erbeutet haben.	He is said to have captured more than 100 million.	More than 100 million he is said to have captured.	He has looted more than a hundred million like that.	adv_miss     	literal adv_miss    
de	386	Andere betonen, Bieber sei schließlich gerade in den USA und Großbritannien mit seiner neuen Single "What do you mean?" auf Platz 1.	Others emphasize that Bieber is finally just in the US and Britain with his new single "What do you?" at No. 1.	Others point out that Bieber was mean, especially in the United States and Britain with his new single "What do you do? '.	Others point out that after all Bieber is charting in both the USA and Great Britain with his new single "What do you mean?" at number one.	diff     	diff     
de	395	"Das ist Multikulti für den Magen", meint Alhay.	"This is Multikulti for the stomach," says Alhay.	"This is" multicultural for the stomach, Alhay says.	"That is multi-cultural food!" says Alhay.	untrans     	pun_order v_order    
de	396	Die Idee hat sich der Libanese inzwischen beim Patentamt in München eintragen lassen.	The idea has now been written by the Lebanese at the Patent Office in Munich.	The idea of the Lebanese has now register at the Patent Office in Munich.	Now he has registered his idea at the patent office in Munich.	v_lex     	v_infl     
de	397	Dort ist sie nach Angaben der Behörde seit kurzem als Gebrauchsmuster geschützt.	It has recently been protected as a utility model, according to the authority.	It is protected according to the authority recently as a utility model.	According to officials there it is now protected as a registered design.	v_past_cont     	adv_order     
en	412	Der Verlust im Nahrungs- und Lebensmittelgeschäft und bei den Mengen auf Metcashs hoher Fixkostenbasis könnte Metcash rund 13 Millionen $ Gewinn vor Zinsen und Steuern kosten, sagte Mr Kierath.	The loss in the food and food business and in the quantities at Metcash's high fixed cost base could cost Metcash about $13 million in earnings before interest and taxes, Mr Kierath said.	The loss in food and grocery store and the quantities on Metcash Metcashs high fixed-cost base could be around $13 million in earnings before interest and taxes, Mr Kierath said.	The loss of food and grocery sales and volumes on Metcash's high fixed-cost base could cost Metcash around $13 million in earnings before interest and tax, Mr Kierath said.	prep art_ext prep art_ext prep 	prep art_ext ne   
en	413	Zum gleichen Zeitpunkt verliert Metcash Marktanteile in den Oststaaten, hauptsächlich an Aldi und Coles, obwohl eine kürzlich durchgeführte Umfrage von Roy Morgan herausfand, dass IGA-Einkäufer die treuesten sind.	At the same time, Metcash is losing market share in eastern states, mainly to Aldi and Coles, although a recent survey by Roy Morgan found that IGA buyers are the most loyal.	At the same time is losing market share in the Metcash Oststaaten, mainly at Aldi and Coles, although a recent poll by Roy Morgan found that IGA shoppers are the most loyal.	At the same time, Metcash is losing market share in the eastern states, mainly to Aldi and Coles, even though a recent Roy Morgan survey found IGA shoppers were most loyal.	v_infl     	ne untrans prep v_infl  
en	415	Letzte Woche erzählte der führende Fondsmanager Hamish Douglass, der Gründer der Magellan Financial Group, bei einem Geschäftsessen in Melbourne, dass Metcash wahrscheinlich innerhalb eines Jahrzehnts. Metcash verschwinden werde.	Last week, the leading fund manager Hamish Douglass, the founder of the Magellan Financial Group, told a business lunch in Melbourne that Metcash is likely to disappear within a decade.	Last week, the leading fund managers today Douglass, founder of Magellan Financial Group, told a business lunch in Melbourne that Metcash will probably disappear within a decade, Metcash.	Last week, leading fund manager Hamish Douglass, the founder of Magellan Financial Group, told a business lunch in Melbourne that Metcash could "highly, probably disappear within a decade.	art_ext     	n_infl ne art_miss ne  
en	421	Thanasi Kokkinakis wird vom Präsident des australischen Tennisverbands Steve Healy unterstützt	Thanasi Kokkinakis is backed by the president of Australian Tennis Federation Steve Healy	Thanasi Kokkinakis is supported by the President of the Australian Tennis Association Steve Healy	Thanasi Kokkinakis backed by Tennis Australia president Steve Healy	art_ext     	art_ext art_ext    
en	422	Thanasi Kokkinakis verdient eher Lob als Kritik für sein Verhalten.	Thanasi Kokkinakis deserves more praise than criticism for his behaviour.	Thanasi Kokkinakis deserves praise rather than criticism for his behaviour.	Thanasi Kokkinakis deserves kudos rather than criticism for his behaviour.	adv_lex     	x     
en	430	Aber, wirklich, er hat sich in den US-Open extrem gut verhalten, sogar unter den ziemlich provokativen Umständen mit Harrison und so weiter, und ich denke, dass er viel Anerkennung verdient.	But, really, he has behaved extremely well in the U.S. Open, even under the rather provocative circumstances with Harrison and so on, and I think he deserves a lot of recognition.	But, really, he was in the US Open have behaved extremely well, even under the rather provocative circumstances with Harrison and so on, and I think he deserves a lot of recognition.	But, really, he's handled himself extremely well, in pretty provocative circumstances in the US with Harrison and so on, and I think he deserves a lot of credit.	x     	v_order     
en	440	Aber Frustrationen stiegen an.	But frustrations rose.	But frustrations grew.	But frustrations were on the rise.	x     	x     
en	441	Als ein Polizeihubschrauber über ihnen schwebte, skandierten die Migranten "Öffnet die Grenze!" und schrieen Beleidigungen gegen die ungarische Bereitschaftspolizei.	When a police helicopter hovered over them, the migrants "opened the border!" and shouted insults against Hungarian riot police.	As a police helicopter hovered over them, the migrants chanted "open the borders!" And screaming insults against the Hungarian riot police.	As a police helicopter hovered above, migrants chanted "Open the border!" and shouted insults at Hungarian riot police.	v_miss v_infl prep   	v_pres_cont prep art_ext   
en	459	Gyorgy Bakondi, Landes-Sicherheitsberater für Orban, sagte, dass Behörden 45 Menschen beim Versuch, die Grenze zu überqueren erwischten, 15 andere waren bereits tiefer in das Land eingedrungen.	Gyorgy Bakondi, land security adviser for Orban, said that authorities told 45 people in trying to cross the border, 15 others had already invaded the country.	Gyorgy Bakondi, national-security adviser to Orban, said that 45 people authorities while trying to cross the border caught, 15 others were already penetrated deep into the country.	Gyorgy Bakondi, homeland security adviser to Orban, said authorities caught 45 people trying to cross at the border and 15 deeper in the country.	prep v_lex prep_ext v_lex  	phrase_structure     
en	461	Behörden sind dabei, den Zaun schnell zu reparieren.	Authorities are in the process of repairing the fence quickly.	Authorities are in the process of repairing the fence quickly.	Authorities are quickly repairing the fence.	x     	x     
en	466	Wahl-2016: Hillary Clintons Vorsprung vor Bernie Sanders in nationaler Umfrage halbiert	Election 2016: Hillary Clinton's lead ahead of Bernie Sanders in national poll halved	Election 2016: Hillary Clinton's lead over Bernie Sanders in national poll, halved	Election 2016: Hillary Clinton's lead over Bernie Sanders cut by half in national poll	prep     	pun_ext     
en	468	Clinton hat nun die Unterstützung von 47 Prozent der demokratischen Wähler bei den Vorwahlen (58 Prozent zuvor), während Sanders an zweiter Stelle steht, mit 27 Prozent (Anstieg um 17 Prozent).	Clinton now has the support of 47 percent of Democratic voters in the primaries (58 percent previously), while Sanders is second, with 27 percent (rising by 17 percent).	Clinton now has the support of 47 percent of Democratic voters in the primaries (58 percent previously, while Sanders is in second place with 27 percent (an increase of 17 percent.	Clinton now has the backing of 47 percent of Democratic primary voters (down from 58 percent), while Sanders comes in second, with 27 percent (up from 17 percent).	literal     	literal pun_miss pun_miss   
en	470	Mehr als fünf Monate vor Beginn der Vorwahlen, sagen die meisten demokratischen Wähler, dass es zu früh ist, um zu sagen, dass ihre Meinung feststeht, welchen Kandidaten sie unterstützen werden.	More than five months before the start of the primaries, most Democratic voters say it is too early to say that their opinion is determined which candidate they will support.	More than five months before the start of the primaries, most Democratic voters that it is too early to say that their opinion is what candidates say they will support.	More than five months before the start of the primary contests, most Democratic voters say it is too early to say that their minds are made up about which candidate they will support.	ambig_n     	ambig_n phrase_structure    
en	480	Sechs Prozent würden sie nicht unterstützen.	Six percent would not support them.	Six percent would not support them.	Six percent would not support her.	ambig_pron     	ambig_pron     
en	482	Die Ansichten sind stärker gemischt bei denjenigen, die derzeit Clinton nicht unterstützen - nur etwa ein Viertel würde sie begeistert unterstützen.	The views are more mixed among those who currently do not support Clinton - only about a quarter would enthusiastically support them.	The views are more mixed among those who do not currently support Clinton, only about a quarter would enthusiastically support.	Views are more mixed among those not currently backing Clinton - only about a quarter would enthusiastically support her.	art_ext pron_sie    	art_ext pron_miss    
en	491	Fünfundfünfzig Prozent der demokratischen Wähler sehen Clinton als Kandidatin mit den besten Chancen, die Wahl zu gewinnen; jedoch ist diese Zahl von 78 Prozent im letzten Monat gesunken.	Fifty-five percent of Democratic voters see Clinton as a candidate with the best odds of winning the election; however, that number has fallen from 78 percent last month.	Fifty-five percent of Democratic voters see Clinton as the candidate with the best chance to win the election; however, this figure has fallen from 78 percent in the last month.	Fifty-five percent of Democratic voters see Clinton as the candidate with the best chance of winning the general election; however that figure is down from 78 percent last month.	det     	x     
en	495	Die Demokratischen Kandidaten oder potenziellen Kandidaten erbringen gute Ergebnisse bei einigen wichtigen Merkmalen bei Wählern der Vorwahlen ihrer Partei.	The Democratic candidates or potential candidates provide good results on some important traits among voters of their party's primaries.	The Democratic candidates or potential candidates for their party's primaries provide good results in a number of important characteristics with voters.	The Democratic candidates, or potential candidates, perform well on some key characteristics among their party's primary voters.	mwe     	mwe phrase_structure    
en	502	Aber es ist eine andere Geschichte in der amerikanischen Öffentlichkeit insgesamt.	But it's a different story in the American public as a whole.	But it is a different story in the American public as a whole.	But it's a different story among the American public overall.	prep adv_lex    	prep adv_lex    
