de	1	Obama receives Netanyahu	Obama empfängt Netanjahu	Obama Netanyahu empfängt	Obama empfängt Netanyahu	transliteration     	v_order       
de	260	This date is no longer tenable.	Dieses Datum ist nicht mehr haltbar.	Dieses Datum ist nicht mehr haltbar.	Dieser Termin gilt als nicht mehr haltbar.	x     	x       
de	265	Referring to different places, which each time he marks on the map, he talks about the stories behind his meticulously and subtly contrived songs.	Unter Berufung auf verschiedene Orte, die er jedes Mal auf der Karte markiert, spricht er über die Geschichten hinter seinen akribisch und subtil geglückten Liedern.	Die verschiedenen Orte, die jedes Mal, wenn er auf der Karte markiert, spricht er über die Geschichten hinter seinen Songs akribisch und subtil zuwege brachte.	Er erzählt anhand verschiedener Orte, die er immer wieder auf der Karte einzeichnet, worüber seine minuziös und zart arrangierten Songs berichten.	diff     	diff       
de	281	Hamburg Mehr kept in the dark!	Hamburg Mehr hielt im Dunkeln!	Hamburg Mehr im Dunkeln gehalten!	Im dunkel gehaltenen Hamburger Mehr!	diff     	diff       
de	285	From the audience one can hear: the performance is more "opulent" and it makes you want to "chuck away the album".	Vom Publikum hört man: Die Leistung ist eher "opulent" und sie will das Album "wegwerfen".	Aus dem Publikum kann man hören: Die Leistung ist mehr "opulent" und es macht Sie wollen "das Album weg wegwerfen".	Aus dem Publikum hört man: Der Vortrag sei "opulenter" und man könne damit die "Platte im Grunde wegwerfen".	prep mwe    	ambig_adv mwe      
en	295	Mr Corbyn's decision not to sing the national anthem has attracted attention	Die Entscheidung von Herrn Corbyn, die Nationalhymne nicht zu singen, hat Aufmerksamkeit erregt	Die Entscheidung von Herrn Corbyn nicht die Nationalhymne zu singen, hat die Aufmerksamkeit	Mr Corbyns Entscheidung, nicht die Nationalhymne zu singen, hat Aufmerksamkeit auf sich gezogen	x     	v_miss       
en	302	Mr Corbyn will be the fifth Labour leader that David Cameron has faced across the despatch box over the past decade since he became Tory leader.	Herr Corbyn wird der fünfte Labour-Chef sein, den David Cameron in den letzten zehn Jahren vor Augen hat, seit er Tory Führer wurde.	Herr Corbyn wird der fünfte Labour-Führer, David Cameron hat sich in der Versand-Box in den letzten zehn Jahren, seit er als Tory-Chef.	Mr Corbyn wird der fünfte Labour-Vorsitzende sein, der David Cameron, seitdem er Tory-Chef ist, im letzten Jahrzehnt über die Dispatch-Box im Parlament hinweg gegenüber steht.	ambig_n     	ambig_n v_miss pron_rel_miss v_order prep v_miss  
en	311	But one group of former street children have found a way to learn a skill and make a living.	Doch eine Gruppe ehemaliger Straßenkinder hat einen Weg gefunden, ein Geschick zu erlernen und ein Leben zu machen.	Aber eine Gruppe ehemaliger Straßenkinder haben einen Weg gefunden, eine Fertigkeit zu erlernen und ihren Lebensunterhalt zu verdienen.	Aber eine Gruppe von ehemaligen Straßenkindern hat einen Weg gefunden, eine Fertigkeit zu erlernen und sich damit den Lebensunterhalt zu verdienen.	genitive mwe    	genitive v_infl      
en	313	BBC News went to meet one of the project's first graduates.	BBC News ging zu einem der ersten Absolventen des Projekts.	BBC News ging, einer der ersten Absolventen des Projekts.	BBC News hat einen der ersten Absolventen des Projekts getroffen.	x     	prep->pun art_infl      
en	322	What do you want to comment on?	Was wollen Sie kommentieren?	Was wollen Sie kommentieren?	Was möchten Sie kommentieren?	x     	x       
en	323	Or do you want to find out what others are talking about?	Oder wollen Sie herausfinden, worüber andere sprechen?	Oder wollen Sie herausfinden, was andere sprechen?	Oder wollen Sie herausfinden, über was andere reden?	x     	prep_miss       
en	326	Contact us on Twitter	Kontaktieren Sie uns auf Twitter	Kontaktieren Sie uns auf Twitter	Kontaktieren Sie uns auf Twitter	x     	x       
en	328	Message us on WhatsApp	Mitteilung zu WhatsApp	WhatsApp message uns	Senden Sie uns eine Nachricht auf WhatsApp	n/v     	phrase_structure untrans      
en	330	In some cases your text, as well as your images, may be used on BBC output.	In einigen Fällen können Ihr Text sowie Ihre Bilder auf der BBC-Ausgabe verwendet werden.	In einigen Fällen Ihren Text sowie Ihre Bilder auf BBC-Produktion verwendet werden kann.	In einigen Fällen kann Ihr Text, ebenso Ihre Bilder, für eine BBC-Produktion verwendet werden.	prep     	v_order det_infl prep     
en	332	You can send us your pictures and videos or an SMS to 61124.	Sie können uns Ihre Bilder und Videos oder eine SMS auf 61124 schicken.	Senden Sie uns Ihre Fotos und Videos oder eine SMS an 61124.	Sie schicken uns Ihre Bilder und Videos oder eine SMS an 61124.	prep     	x       
en	335	Email your stories and comments to haveyoursay@bbc.co.uk	Email Ihre Geschichten und Kommentare an haveyoursay @ bbc.co.uk	Schicken Sie uns Ihre Geschichten und Kommentare zu haveyoursay @ bbc.co.uk	Senden Sie uns Ihre Geschichten und Kommentare per E-Mail an haveyoursay@bbc.co.uk	n/v     	prep       
en	337	Email your pictures, video or audio to us at yourpics@bbc.co.uk	Email Ihre Bilder, Video oder Audio zu uns bei yourpics @ bbc.co.uk	Senden Sie Ihre Bilder, Videos oder Audiodateien an yourpics @ bbc.co.uk	Senden Sie uns Ihre Bilder, Video- oder Audioaufnahmen per E-Mail an yourpics@bbc.co.uk	n/v prep    	x       
en	339	You can also upload your video or pictures.	Sie können auch Ihre Videos oder Bilder hochladen.	Außerdem können Sie Ihre Videos oder Bilder hochladen.	Sie können auch Ihr Video oder Bilder hochladen.	x     	x       
en	340	We will publish your name as you provide it, unless you ask us not to.	Wir veröffentlichen Ihren Namen so, wie Sie es zur Verfügung stellen, es sei denn, Sie fragen uns nicht.	Wir werden Ihren Namen veröffentlichen, wie Sie es schaffen, es sei denn, Sie bitten uns nicht.	Wir werden Ihren Namen so veröffentlichen, wie Sie ihn angeben, wenn Sie uns nicht bitten, dies zu unterlassen.	v_miss neg    	ambig_v neg      
en	343	Between May and July, UK earnings excluding bonuses grew 2.9% compared with the same period last year.	Zwischen Mai und Juli wuchs das britische Ergebnis ohne Boni im Vergleich zum Vorjahreszeitraum um 2,9%.	Zwischen Mai und Juli, Erträge ohne Boni stieg 2,9% im Vergleich zum Vorjahreszeitraum.	Zwischen Mai und Juli wuchs das Ergebnis ohne Boni im Vereinigten Königreich um 2,9 % gegenüber dem gleichen Vorjahreszeitraum.	n-coll     	n-coll literal      
en	347	SABMiller was the stand-out stock on the market, jumping 20% after it received a bid approach from rival AB InBev.	SABMiller war die Stand-out-Aktie auf dem Markt, sprang um 20 Prozent, nachdem sie von Konkurrent AB InBev einen Angebotsantrag erhalten hatte.	Ab der Stand-out auf dem Markt, 20%, nachdem sie ein Gebot von rivalisierenden AB InBev.	SABMiller war die herausragende Aktie auf dem Markt und machte einen Sprung von 20 %, nachdem Übernahme-Angebot des Rivalen AB InBev eingegangen war.	gerund     	ne_trans_inc v_miss v_miss v_miss    
en	354	JD Sports boss says higher wages could hurt expansion	JD-Sportchef sagt, höhere Löhne könnten Ausbau schaden	JD Sports Chef sagt höhere Löhne schaden könnte, Expansion	Der Chef von JD Sports sagt, dass höhere Löhne die Expansion gefährden.	x     	n-coll_comp pun_order v_infl v_order    
de	358	Justin Bieber in the capital city: on a Bieber expedition in Berlin	Justin Bieber in der Hauptstadt: Auf einer Bieber-Expedition in Berlin	Justin Bieber in der Hauptstadt: Auf einer Bieber Expedition in Berlin	Justin Bieber in der Hauptstadt: Auf Bieber-Expedition in Berlin	art_ext ne_trans    	art_ext ne_trans      
de	359	Justin Bieber, megastar.	Justin Bieber, megastar.	Justin Bieber, Megastar.	Justin Bieber, Megastar.	x     	x       
de	360	A ridiculous 21 years young, a wimpy kid with a too trendy haircut.	Ein lächerlicher 21 Jahre jung, ein wimpiges Kind mit einer zu trendigen Frisur.	Eine lächerliche 21 Jahre jung, ein Kind kombiniert mit einer schicken Frisur zu.	Läppische 21 Jahre jung, ein Hänfling mit oberschicker Frise.	a_lex     	art_infl a_inf a_lex adv_order    
de	362	Probably even more.	Wahrscheinlich noch mehr.	Wahrscheinlich noch mehr.	Eher sogar mehr.	x     	x       
de	363	At the moment Monsieur Bieber is in Berlin.	Im Moment ist Monsieur Bieber in Berlin.	Derzeit ist Monsieur Bieber in Berlin.	Derzeit ist Monsieur Bieber in Berlin.	x     	x       
de	365	Like Wiktoria Rudzinska.	Wie Wiktoria Rudzinska.	Ebenso wie Wiktoria Rudzinska.	Wie Wiktoria Rudzinska.	x     	x       
de	366	The 15-year-old has never heard the name Ritz Carlton.	Der 15-Jährige hat nie den Namen Ritz Carlton gehört.	Der 15-Jährige hat nie den Namen Ritz Carlton gehört.	Die 15-Jährige hat den Namen "Ritz Carlton" noch nie gehört.	art_infl neg    	art_infl neg      
de	367	Not so bad.	Nicht so schlimm.	Gar nicht so schlecht.	Nicht schlimm.	x     	x       
de	368	Hundreds of fans accompanied Justin yesterday.	Hunderte Fans begleiteten Justin gestern.	Hunderte von Fans begleitet Justin gestern.	Hunderte Fans begleiteten Justin gestern.	x     	prep_ext v_infl      
de	373	At least.	Mindestens.	Zumindest ist.	Wenn überhaupt.	x     	diff       
de	374	She says: "My Viktoria should really be sitting in the 10th class in the grammar school at the moment."	Sie sagt: "Meine Viktoria sollte im Moment wirklich in der 10. Klasse im Gymnasium sitzen".	Sie sagt: "Meine Viktoria sollte eigentlich in der 10. Klasse im Gymnasium im Moment".	Die sagt: "Eigentlich müsste meine Wiktoria in der zehnten Klasse im Gymnasium sitzen."	x     	v_miss       
de	376	Compulsory education?	Pflichtbildung?	Die Schulpflicht?	Schulpflicht?	mwe     	art_ext       
de	377	Who wants that?	Wer will das?	Wer will das?	Wen juckt's?	x     	x       
de	378	Not the fans.	Nicht die Fans.	Die Fans nicht.	Die Fans nicht.	x     	x       
de	379	Nor Bieber himself.	Auch Bieber selbst nicht.	Auch Bieber selbst.	Auch Bieber selbst nicht.	x     	neg       
de	384	He has looted more than a hundred million like that.	Er hat mehr als hundert Millionen so geplündert.	Er hat mehr als hundert Millionen geplündert.	Mehr als 100 Millionen soll er so erbeutet haben.	x     	adv_miss       
de	386	Others point out that after all Bieber is charting in both the USA and Great Britain with his new single "What do you mean?" at number one.	Andere weisen darauf hin, dass nach allem Bieber sowohl in den USA als auch in Großbritannien mit seiner neuen Single "Was meinst du?" Auf Nummer eins ist.	Andere weisen darauf hin, dass immerhin Bieber stellt sowohl in den USA und Großbritannien mit seiner neuen Single "Was tun?".	Andere betonen, Bieber sei schließlich gerade in den USA und Großbritannien mit seiner neuen Single "What do you mean?" auf Platz 1.	mwe ambig_n    	n_order v_lex phrase_miss_adv_place     
de	388	At least that's what he says.	Zumindest ist das, was er sagt.	Zumindest ist das, was er sagt.	Zumindest tut er so.	x     	x       
de	389	Pegida poster suggests the idea of potato doner kebabs to Lebanese man	Pegida Plakat schlägt die Idee von Kartoffeldoner kebabs zum libanesischen Mann	Pegida Plakat zeigt die Idee der Kartoffel doner Kebabs auf libanesischen Mann	Pegida-Plakat bringt Libanesen auf Kartoffeldöner-Idee	diff     	diff       
de	392	Inspired by the slogan "potatoes instead of kebabs" on a Pegida movement poster, Alhay put potatoes and meat together on a skewer.	Inspiriert von dem Slogan "Kartoffeln statt Kebabs" auf einem Pegida Bewegungsplakat steckte Alhay Kartoffeln und Fleisch gemeinsam auf einen Skewer.	Unter dem Motto "Kartoffeln statt Kebap" auf eine Pegida-Bewegung Poster, Kartoffeln und Fleisch Alhay setzen gemeinsam auf einem Spieß.	Inspiriert durch den Spruch "Kartoffel statt Döner" auf einem Plakat der Pegida-Bewegung hat Alhay Kartoffel und Fleisch zusammen auf einen Spieß gesteckt.	prep ambig_adv    	ambig_adv v_infl_order art_infl n-coll_comp phrase_structure   
de	396	Now he has registered his idea at the patent office in Munich.	Jetzt hat er seine Idee beim Patentamt in München angemeldet.	Jetzt hat er seine Idee beim Patentamt in München.	Die Idee hat sich der Libanese inzwischen beim Patentamt in München eintragen lassen.	x     	v_miss       
de	400	Customers also appreciate this international culinary understanding.	Auch die Kunden schätzen dieses internationale kulinarische Verständnis.	Die Kunden schätzen auch das internationale kulinarische Verständnis.	Auch bei seinen Kunden komme die kulinarische Völkerverständigung gut an.	x     	adv_order det->art      
en	401	Metcash launches grassroots campaign to fight Aldi incursion	Metcash startet Basis-Kampagne zur Bekämpfung von Aldi-Einbrüchen	Metcash startet die Kampagne gegen Aldi Übergriff	Metcash startet Bodenständigkeits-Kampagne zur Bekämpfung von Aldi- Einfall	x     	art_ext n-coll_comp n_lex_style     
en	402	Metcash is trying to protect its IGA stores from an Aldi onslaught in South Australia and Western Australia.	Metcash versucht, seine IGA-Filialen von einem Aldi-Ansturm in Südaustralien und Westaustralien zu schützen.	Metcash versucht, seine IGA Läden von Aldi Ansturm in South Australia und Western Australia.	Metcash versucht, die IGA-Filialen vor einem Aldi-Aufmarsch in South Australia und Western Australia zu schützen.	x     	v_miss       
en	406	Metcash is expected to reveal more details of its defence strategy on September 29, when the food, liquor and hardware wholesaler hosts its annual investor strategy day.	Metcash soll am 29. September weitere Details seiner Verteidigungsstrategie bekanntgeben, wenn der Lebensmittel-, Spirituosen- und Hardware-Großhändler seinen jährlichen Investorenstrategietag veranstaltet.	Metcash soll mehr Details seiner Verteidigungsstrategie am 29. September, als das Essen, Likör und Hardware-Großhändler veranstaltet seinen jährlichen Investor Strategie.	Es wird erwartet, dass Metcash weitere Details seiner Verteidigungsstrategie am 29. September veröffentlicht, wenn der Großhändler für Lebensmittel, Alkohol und Geräte seinen jährlichen Investoren-Strategietag durchführt.	x     	v_miss n_lex_style n_lex_style v_order n-coll   
en	434	"First of all we want the team to be completely focused on the tie and not all the controversy around [Kyrgios]," Healy said.	"Erst einmal wollen wir, dass sich die Mannschaft ganz auf die Krawatte konzentriert und nicht alle Kontroverse um [Kyrgios]", sagte Healy.	"Zunächst einmal wollen wir das Team komplett auf die Krawatte und nicht alle Kontroversen um [Kyrgios]", sagte Healy.	"Zuerst wünschen wir, dass das Team komplett auf den Wettbewerb konzentriert ist und nicht auf alle die Kontroversen rundherum [Kyrgios]," sagte Healy.	mwe pron_refl_order ambig_n prep_miss  	mwe conj_miss v_miss ambig_n prep_miss   
en	444	(Serbia) wants to be part of the solution, not collateral damage.	(Serbien) will Teil der Lösung sein, keine Kollateralschäden.	(Serbien) will Teil der Lösung sein, nicht Kollateralschäden.	(Serbien) will Teil der Lösung und nicht ein Kollateralschaden sein.	neg     	det_miss       
en	446	The turmoil at the Hungarian-Serbian border came a day after the 28-nation bloc failed to come up with a united immigration policy at a contentious meeting in Brussels.	Der Aufruhr an der ungarisch-serbischen Grenze kam einen Tag, nachdem der 28-Nationen-Block bei einem umstrittenen Treffen in Brüssel mit einer gemeinsamen Einwanderungspolitik gescheitert war.	Die Turbulenzen an der ungarisch-serbischen Grenze kam einen Tag nach der 28-Block hat eine einheitliche Einwanderungspolitik zu einem umstrittenen Treffen in Brüssel.	Die Turbulenzen an der ungarisch-serbischen Grenze kamen einen Tag nach der 28-Nationen-Block bei einem strittigen Treffen in Brüssel keine gemeinsame Einwanderungspolitik vereinbaren konnte.	pun_ext literal    	v_infl conj_form v_miss literal    
en	452	CBS News correspondent Charlie D'Agata reported that even prison inmates were enlisted in the race to finish the razor wire fence between Hungary and Serbia.	CBS News Korrespondent Charlie D 'Agata berichtete, dass auch Gefängnisinsassen im Rennen eingewiesen wurden, um den Rasier-Drahtzaun zwischen Ungarn und Serbien zu beenden.	CBS News Korrespondent Charlie D 'Agata berichtete, dass sogar Gefängnisinsassen rekrutiert im Rennen der Gastmannschaft Draht Zaun zwischen Ungarn und Serbien.	CBS News-Korrespondent Charlie D'Agata berichtete, dass sogar Gefängnisinsassen bei dem Wettlauf, den Stacheldraht-Zaun zwischen Ungarn und Serbien zu erstellen, eingesetzt wurden.	ambig_n ambig_n    	v_order v_miss ambig_n pun_miss v_miss   
en	457	We are very clear on this: Illegal border crossing is a crime.	Wir sind hier ganz klar: Der illegale Grenzübergang ist ein Verbrechen.	Wir sind hier sehr klar: Der illegale Grenzübertritt ist ein Verbrechen.	Wir sagen es sehr deutlich: Illegaler Grenzübergang ist ein Verbrechen.	art_ext     	art_ext       
en	459	Gyorgy Bakondi, homeland security adviser to Orban, said authorities caught 45 people trying to cross at the border and 15 deeper in the country.	Gyorgy Bakondi, Heimatsicherheitsberater von Orban, sagte, Behörden hätten 45 Menschen erwischt, die versuchen, an der Grenze und 15 tiefer im Land zu überqueren.	György Bakondi, Sicherheitsberater, Orban, sagte Behörden gefangen 45 Menschen an der Grenze überschreiten wollen und 15 tiefer im Land.	Gyorgy Bakondi, Landes-Sicherheitsberater für Orban, sagte, dass Behörden 45 Menschen beim Versuch, die Grenze zu überqueren erwischten, 15 andere waren bereits tiefer in das Land eingedrungen.	ambig_n prep prep v_order  	n-coll_comp prep->pun prep pron_rel_miss v_order   
en	460	They got across by damaging the fence, are now in police custody and are being charged with committing offenses under the new laws.	Sie haben den Zaun beschädigt, befinden sich jetzt in Polizeigewahrsam und werden angeklagt, im Rahmen der neuen Gesetze Verstöße begangen zu haben.	Sie haben durch eine Beschädigung des Zauns vermittelt, befinden sich jetzt in Polizeigewahrsam und werden mit den neuen Gesetzen Zensur zu begehen.	Sie kommen herüber, indem sie den Zaun beschädigen, sie sind nun in Polizeigewahrsam und werden der Begehung von Straftaten nach den neuen Gesetzen beschuldigt.	pron_miss_src     	literal v_lex prep n_lex zu_ext   
en	461	Authorities are quickly repairing the fence.	Die Behörden reparieren schnell den Zaun.	Die Behörden sind schnell den Zaun reparieren.	Behörden sind dabei, den Zaun schnell zu reparieren.	art_ext     	art_ext v_pres_cont      
en	472	Since last month's CBS News Poll, Clinton has lost ground among a number of demographic groups, while Sanders has made some gains.	Seit dem vergangenen Monat CBS News Poll hat Clinton unter einer Reihe demografischer Gruppen an Boden verloren, während Sanders einige Gewinne erzielt hat.	Seit dem vergangenen Monat der CBS News Poll, Clinton hat bei einer Reihe von demographischen Gruppen, während Sanders hat einige Vorteile.	Seit der CBS-News-Umfrage hat Clinton bei einer Reihe von demographischen Gruppen verloren, während Sanders einige Gewinne erzielte.	n-coll prep genitive literal  	n-coll v_order v_miss v_order v_miss   
en	478	About half of Democratic primary voters nationwide say they would enthusiastically support Clinton if she became the party's nominee.	Etwa die Hälfte der demokratischen Erstwähler bundesweit sagen, sie würden Clinton begeistert unterstützen, wenn sie zum Kandidaten der Partei werde.	Etwa die Hälfte der demokratischen Wähler landesweit primär sagen, sie würden Clinton begeistert unterstützen, wenn sie die Kandidatin der Partei.	Etwa die Hälfte der demokratischen Wähler der Vorwahlen landesweit sagen, dass sie mit Begeisterung Clinton unterstützen würden, wenn sie von der Partei nominiert würde.	prep n_infl    	n-coll v_miss      
en	479	A quarter would support her with some reservations and another 15 percent would only back her because she is the nominee.	Ein Viertel würde sie mit einigen Vorbehalten unterstützen und weitere 15 Prozent würden sie nur unterstützen, weil sie der Kandidat ist.	Ein Viertel würde sie mit einigen Vorbehalten unterstützen und weitere 15 Prozent würden sie nur unterstützen, weil sie die Kandidatin ist.	Ein Viertel würde sie mit einigen Vorbehalten unterstützen und weitere 15 Prozent würden sie nur unterstützen, weil sie die Kandidatin ist.	n_gender_src     	x       
en	480	Six percent would not support her.	Sechs Prozent würden sie nicht unterstützen.	Sechs Prozent würden sie nicht unterstützen.	Sechs Prozent würden sie nicht unterstützen.	x     	x       
en	502	But it's a different story among the American public overall.	Aber es ist eine andere Geschichte unter der amerikanischen Öffentlichkeit insgesamt.	Aber es ist eine andere Geschichte in der amerikanischen Öffentlichkeit.	Aber es ist eine andere Geschichte in der amerikanischen Öffentlichkeit insgesamt.	prep     	adv_miss       
en	512	More see Sanders as honest than not, but like Carson, many don't have an opinion of him.	Mehr sehen Sanders als ehrlich als nicht, aber wie Carson haben viele keine Meinung von ihm.	Mehr als Sanders als ehrlich sehen, aber wie Carson, viele haben eine Meinung von ihm.	Eine Mehrheit sieht Sanders eher als ehrlich an, aber wie bei Carson haben viele keine Meinung von ihm.	mwe prep_miss    	mwe prep_miss v_order neg    
en	513	The margin of error for the sample of 351 Democratic primary voters is 6 percentage points.	Die Fehlerquote bei der Stichprobe von 351 demokratischen Stammwählern liegt bei 6 Prozentpunkten.	Die Fehlerquote für die Stichprobe von 351 Demokratische primäre Wähler ist 6 Prozentpunkte.	Die Fehlerquote für die Stichprobe von 351 Demokratischen Wählern bei den Vorwahlen beträgt 6 Prozentpunkte.	prep n-coll    	n-coll literal      
en	514	Ben Carson draws close behind Donald Trump in national poll	Ben Carson zieht dicht hinter Donald Trump in nationale Umfrage ein	Ben Carson zieht hinter Donald Trump in der nationalen Befragung	Ben Carson rückt bei landesweiter Umfrage nahe hinter Donald Trump auf	prep ambig_v    	art_ext ambig_v      
en	516	The two candidates account for half the support of voters in the new poll, leaving others scrounging for a foothold	Die beiden Kandidaten machen in der neuen Umfrage die Hälfte der Unterstützung der Wähler aus, die andere schrottgen für ein Ständchen	Die beiden Kandidaten für die Hälfte der Unterstützung der Wähler in der neuen Umfrage, andere z.B. das Beschaffen eines foothold	Auf die beiden Kandidaten entfällt inzwischen die Hälfte der Unterstützung der Wähler in der neuen Umfrage, und anderen verlieren dramatisch an Halt	n_lex n_lex    	v_miss n/v untrans     
en	524	The latest poll from ABC News/Washington Post also showed Trump significantly ahead of Carson.	Die neueste Umfrage von ABC News / Washington Post zeigte auch Trump deutlich vor Carson.	Die jüngste Umfrage von ABC News / Washington Post zeigte auch Trump Carson deutlich voraus.	Die jüngste Umfrage von ABC News/Washington Post zeigte auch Trump deutlich vor Carson.	x     	phrase_structure       
de	527	Pleasant temperatures for bathing: the eastern Mediterranean is currently as warm as 29 degrees	Angenehme Temperaturen zum Baden: Das östliche Mittelmeer ist derzeit so warm wie 29 Grad	Angenehme Temperaturen zum Baden: Das östliche Mittelmeer ist derzeit so warm wie 29 Grad	Angenehme Badetemperaturen: Das östliche Mittelmeer ist derzeit bis zu 29 Grad warm.	literal mwe    	literal mwe      
de	528	Even if peak levels are only measured in the distance, a trip to the Mediterranean is enough for beach lovers to find warm water.	Auch wenn Spitzenwerte nur in der Ferne gemessen werden, reicht ein Ausflug ins Mittelmeer für Strandliebhaber, um warmes Wasser zu finden.	Auch wenn Spezifische nur in der Ferne, eine Reise zum Mittelmeer reicht für Schwimmbegeisterte warmes Wasser zu finden.	Auch wenn Spitzenwerte nur in der Ferne gemessen werden, reicht für Badeurlauber schon ein Trip ans Mittelmeer, um noch warmes Wasser vorzufinden.	prep     	n-coll v_miss conj_miss     
de	533	The Red Sea in Egypt is 28 degrees.	Das Rote Meer in Ägypten beträgt 28 Grad.	Das Rote Meer in Ägypten ist 28 Grad.	Das Rote Meer in Ägypten kommt auf 28 Grad.	x     	literal       
en	542	He could not be revived and he died the next morning.	Er konnte nicht wiederbelebt werden und er starb am nächsten Morgen.	Er konnte nicht wiederbelebt werden und er starb am nächsten Morgen.	Er konnte nicht wiederbelebt werden, und er starb am nächsten Morgen an seinen Verletzungen.	x     	x       
en	543	According to an autopsy report, Deng was subjected to repeated blunt force trauma to his head, torso, and thighs.	Nach einem Autopsiebericht wurde Deng seinem Kopf, Torso und Oberschenkel mehrfach stumpfer Gewalttrauma unterzogen.	Laut einer Autopsie-Bericht war Deng stumpf wiederholt Gewalt Trauma ausgesetzt, seinen Kopf, Oberkörper und Oberschenkel.	Nach einem Autopsiebericht wurden Deng wiederholt mit stumpfer Kraft Verletzungen an Kopf, Rumpf und Oberschenkel zugefügt.	diff     	diff       
en	546	A Monroe County grand jury recommended third-degree murder charges for the first five members.	Ein Monroe County Grand Jury empfahl für die ersten fünf Mitglieder die zweifachen Mordvorwürfe.	Die Monroe County Grand Jury empfahl dritten Grades an Gebühren für die ersten fünf Mitglieder.	Eine County Grand Jury von Monroe empfahl eine Anklage wegen Mordes dritten Grades für die ersten fünf Mitglieder.	a_lex     	art n-coll      
en	552	This we know.	Das wissen wir.	Das wissen wir.	Das wissen wir.	x     	x       
en	553	What we don't know is how long all of that will take and how long it will last.	Was wir nicht wissen, ist, wie lange das alles dauern wird und wie lange es dauern wird.	Was wir nicht wissen, ist, wie lange das alles dauern wird und wie lange er anhalten wird.	Was wir nicht wissen ist, wie lange das alles dauern und wie lange es anhalten wird.	pun_ext n_lex_style    	pun_ext pron_pers_it      
en	554	For the economy specifically, history offers little guide about timing.	Für die Wirtschaft vor allem bietet die Geschichte wenig Leitfaden über Timing.	Speziell für die Wirtschaft, die Geschichte bietet wenig Leitfaden über Timing.	Insbesondere bietet die Geschichte für die Wirtschaft nur geringe Anleitung zum Ablauf.	ambig_adv prep untrans   	prep untrans      
en	556	The Federal Reserve's aggressiveness in raising rates is often, though not always, a determinant in how the economy and financial assets respond.	Die Aggressivität der Federal Reserve bei der Anhebung der Zinssätze ist oft, wenn auch nicht immer, ein bestimmender Faktor dafür, wie die Wirtschaft und das Finanzvermögen reagieren.	Die Aggressivität der Notenbank für Zinserhöhungen ist oft, aber nicht immer, wie ein bestimmender Faktor in der Wirtschaft und Finanzanlagen reagieren.	Die Aggressivität der Federal Reserve beim Anheben der Zinssätze ist oft, wenn auch nicht immer, ein Faktor dabei, wie die Wirtschaft und die Finanzanlagen reagieren.	prep     	ne_trans prep art_miss conj conj_order   
en	558	There are, indeed, multiple variables at play.	Es gibt in der Tat mehrere Variablen im Spiel.	Es gibt in der Tat mehrere Variablen im Spiel.	In der Tat spielen mehrere Variablen eine Rolle.	x     	x       
en	561	In contrast, we do not expect the gradual return of U.S. interest rates to more normal but still low levels to be the seismic shock that many seem to fear.	Im Gegensatz dazu rechnen wir nicht mit der schrittweisen Rückkehr der US-Zinssätze auf normalem, aber noch niedrigem Niveau, um den seismischen Schock zu sein, den viele zu befürchten scheinen.	Im Gegensatz dazu haben wir nicht erwarten, dass die schrittweise Rückkehr der US-Zinsen auf ein normaleres Niveau immer noch niedrig, aber die seismischen Erschütterungen, viele scheinen zu befürchten.	Im Gegensatz dazu erwarten wir nicht die allmähliche Rückkehr der US-Zinsen zu normalen Höhen, sondern immer noch auf zu niedrigem Niveau, um zum seismischen Schock, den viele zu fürchten scheinen, zu führen.	prep literal    	prep v_infl phrase_structure     
en	569	Recessions are a fact of economic life, but rate hikes often help them along.	Rezessionen sind eine Tatsache des Wirtschaftslebens, aber Zinserhöhungen helfen ihnen oft.	Rezessionen sind eine Tatsache des Wirtschaftslebens, aber Zinserhöhungen helfen ihnen oft.	Rezessionen sind eine Tatsache des Wirtschaftslebens, aber Zinserhöhungen fördern sie oft.	mwe     	mwe       
en	573	Even though the second quarter of 2015 was at 3.6 percent, few expect that to last, with the third quarter tracking at just 1.5 percent, according to the Atlanta Fed.	Auch wenn das zweite Quartal 2015 bei 3,6 Prozent lag, erwarten wenige, dass es mit dem dritten Quartal bei knapp 1,5 Prozent liegt, wie die Atlanta Fed mitteilte.	Obwohl das zweite Quartal 2015 lag bei 3,6 Prozent, das noch im dritten Quartal auf nur 1,5 Prozent, laut der Atlanta Fed.	Obwohl das zweite Quartal 2015 bei 3,6 Prozent lag, erwarten nur wenige, dass dies andauern wird und erwarten für das dritte Quartal nach Angaben der Atlanta Fed nur 1,5 Prozent.	literal     	v_order phrase_structure      
en	575	Market participants have been bracing for a Fed hike all year, with all eyes turned toward this week's Federal Open Market Committee meeting, which ends Thursday.	Die Marktteilnehmer haben sich das ganze Jahr über eine Fed-Wanderung wappnen lassen, wobei sich alle Augen auf die in dieser Woche stattfindende Bundes-Open-Mark-Sitzung, die am Donnerstag endet, gerichtet hat.	Die Marktteilnehmer wurden für eine Fed-Zinserhöhung bereiten das ganze Jahr mit allen Augen der dieswöchigen Offenmarktausschusses, die am Donnerstag endet.	Marktteilnehmer haben sich das ganze Jahr auf eine Zinserhöhung der Fed gefasst gemacht, und alle Augen waren auf die Sitzung des Federal Open Market Committee in dieser Woche gerichtet, die am Donnerstag endet.	art_ext ambig_n    	art_ext v_past_cont phrase_order_adv_time v_miss    
